ID,Topic,Difficulty,Question,Option1,Correct1,Option2,Correct2,Option3,Correct3,Option4,Correct4
15,psychology,EASY,What is the primary focus of developmental psychology?,Social interactions,FALSE,Human growth and development,TRUE,Cognitive processes,FALSE,Mental disorders,FALSE
16,psychology,EASY,Which type of intelligence is measured by conventional IQ tests?,Creative intelligence,FALSE,Emotional intelligence,FALSE,Practical intelligence,FALSE,Analytical intelligence,TRUE
17,psychology,EASY,What is the term for the mental process of organizing and interpreting sensory information?,Perception,TRUE,Memory,FALSE,Attention,FALSE,Sensation,FALSE
18,psychology,EASY,What is the name of the psychological phenomenon where individuals are less likely to help a victim when others are present?,Bystander effect,TRUE,Social loafing,FALSE,Diffusion of responsibility,FALSE,Groupthink,FALSE
19,psychology,EASY,Which psychological approach emphasizes the potential for personal growth?,Behavioral psychology,FALSE,Psychoanalytic psychology,FALSE,Cognitive psychology,FALSE,Humanistic psychology,TRUE
20,psychology,EASY,What is the term for a therapist's ability to understand a client's feelings?,Insight,FALSE,Empathy,TRUE,Compassion,FALSE,Sympathy,FALSE
21,psychology,EASY,What is the term for a learned fear?,Conditioned fear,TRUE,Phobia,FALSE,Unconditioned fear,FALSE,Instinctual fear,FALSE
22,psychology,EASY,What is the primary focus of clinical psychology?,Human growth,FALSE,Learning processes,FALSE,Sensory perception,FALSE,Mental health disorders,TRUE
23,psychology,EASY,Which phenomenon describes the tendency to attribute our own behaviors to situational factors?,Confirmation bias,FALSE,Self-serving bias,FALSE,Actor-observer bias,TRUE,Fundamental attribution error,FALSE
24,psychology,EASY,What is the process of reinforcing successive approximations to a desired behavior?,Conditioning,FALSE,Shaping,TRUE,Reinforcement,FALSE,Modeling,FALSE
25,psychology,EASY,In which stage of Piaget��s theory do children begin to think logically about concrete events?,Sensorimotor stage,FALSE,Concrete operational stage,TRUE,Formal operational stage,FALSE,Preoperational stage,FALSE
26,psychology,EASY,What is the term for a brief.  intense feeling of fear or anxiety?,Panic attack,TRUE,Nervous breakdown,FALSE,Anxiety disorder,FALSE,Phobia,FALSE
27,psychology,EASY,What is the focus of behavioral psychology?,Observable behaviors,TRUE,Social interactions,FALSE,Emotional states,FALSE,Mental processes,FALSE
28,psychology,EASY,Who is known for his work on operant conditioning?,Erik Erikson,FALSE,Carl Rogers,FALSE,Abraham Maslow,FALSE,B.F. Skinner,TRUE
29,psychology,EASY,What is the term for the tendency to seek out information that confirms our preexisting beliefs?,Hindsight bias,FALSE,Confirmation bias,TRUE,Self-serving bias,FALSE,Availability heuristic,FALSE
30,psychology,EASY,What stage of memory involves the initial recording of information?,Encoding,TRUE,Retrieval,FALSE,Storage,FALSE,Recall,FALSE
31,psychology,EASY,What is the term for the ability to adapt to new situations and solve problems?,Memory,FALSE,Intelligence,TRUE,Creativity,FALSE,Personality,FALSE
32,psychology,EASY,What is the focus of humanistic psychology? ,Cognitive processes,FALSE,Personal growth,TRUE,Social influences,FALSE,Behavior modification,FALSE
33,psychology,EASY,What is the main function of the frontal lobe? ,Vision,FALSE,Emotion regulation,FALSE,Balance,FALSE,Decision making,TRUE
34,psychology,EASY,Which type of reinforcement increases the likelihood of a behavior by removing an unpleasant stimulus? ,Extinction,FALSE,Punishment,FALSE,Positive reinforcement,FALSE,Negative reinforcement,TRUE
35,psychology,EASY,What do we call the mental shortcuts we use to make quick decisions? ,Logical fallacies,FALSE,Rules of thumb,FALSE,Biases,FALSE,Heuristics,TRUE
36,psychology,EASY,What is the term for the psychological phenomenon where people perform better on tasks when in front of an audience? ,Social loafing,FALSE,Conformity,FALSE,Groupthink,FALSE,Social facilitation,TRUE
37,psychology,EASY,Who developed the theory of cognitive development in children? ,Jean Piaget,TRUE,Albert Bandura,FALSE,Lev Vygotsky,FALSE,Erik Erikson,FALSE
38,psychology,EASY,What is the focus of cognitive psychology? ,Observable behavior,FALSE,Mental processes,TRUE,Emotions,FALSE,Social interactions,FALSE
39,psychology,EASY,What is the name of the therapy that aims to change negative thought patterns? ,Cognitive behavioral therapy,TRUE,Psychoanalysis,FALSE,Humanistic therapy,FALSE,Gestalt therapy,FALSE
40,psychology,EASY,What psychological theory suggests that behavior is influenced by the environment? ,Humanism,FALSE,Psychoanalysis,FALSE,Behaviorism,TRUE,Cognitivism,FALSE
41,psychology,EASY,Which term refers to the tendency to remember the first and last items in a list? ,Primacy effect,FALSE,Recency effect,FALSE,Chunking,FALSE,Serial position effect,TRUE
42,psychology,EASY,What is the focus of personality psychology? ,Emotional regulation,FALSE,Social behavior,FALSE,Cognitive development,FALSE,Individual differences,TRUE
43,psychology,EASY,What term describes a significant change in emotional or psychological state? ,Stress response,FALSE,Coping mechanism,FALSE,Adaptive response,FALSE,Mental disorder,TRUE
44,psychology,EASY,What is the primary method of data collection in qualitative research? ,Surveys,FALSE,Interviews,TRUE,Observations,FALSE,Experiments,FALSE
45,psychology,EASY,What is the term for the ability to recognize and understand emotions in oneself and others? ,Practical intelligence,FALSE,Cognitive intelligence,FALSE,Emotional intelligence,TRUE,Social intelligence,FALSE
46,psychology,EASY,What is the primary goal of psychotherapy? ,To prescribe medication,FALSE,To diagnose disorders,FALSE,To analyze behavior,FALSE,To improve mental health,TRUE
47,psychology,EASY,In which stage of Erikson's psychosocial development do individuals face intimacy vs. isolation? ,Maturity,FALSE,Middle adulthood,FALSE,Young adulthood,TRUE,Adolescence,FALSE
48,psychology,EASY,What is the term for the process by which we convert sensory input into a form that can be stored in memory? ,Recall,FALSE,Storage,FALSE,Encoding,TRUE,Retrieval,FALSE
49,psychology,EASY,What is the main focus of industrial-organizational psychology? ,Social interaction,FALSE,Child development,FALSE,Workplace behavior,TRUE,Cognitive processes,FALSE
50,psychology,EASY,What is the term for the brain's ability to reorganize itself? ,Neuroscience,FALSE,Neuroplasticity,TRUE,Neurogenesis,FALSE,Neurotransmission,FALSE
51,psychology,EASY,What do we call the expectation that positive outcomes will occur based on past experiences? ,Pessimism,FALSE,Realism,FALSE,Idealism,FALSE,Optimism,TRUE
52,psychology,EASY,What type of study involves observing and describing behavior without manipulating variables? ,Experimental study,FALSE,Correlational study,FALSE,Descriptive study,TRUE,Longitudinal study,FALSE
53,psychology,EASY,What is the main focus of forensic psychology? ,Child development,FALSE,Legal issues,TRUE,Personality traits,FALSE,Social behavior,FALSE
54,psychology,EASY,What is the term for the discomfort experienced when holding conflicting beliefs? ,Cognitive dissonance,TRUE,Emotional conflict,FALSE,Confirmation bias,FALSE,Idiosyncrasy,FALSE
55,psychology,EASY,What is the name of the psychological phenomenon where individuals conform to group standards? ,Obedience,FALSE,Compliance,FALSE,Groupthink,FALSE,Conformity,TRUE
56,psychology,EASY,What is the name of the psychological test that measures personality traits? ,Achievement test,FALSE,IQ test,FALSE,Personality inventory,TRUE,Projective test,FALSE
57,psychology,EASY,What is the term for the process of recalling information from memory? ,Encoding,FALSE,Recognition,FALSE,Storage,FALSE,Retrieval,TRUE
58,psychology,EASY,What type of conditioning involves learning by association? ,Social learning,FALSE,Observational learning,FALSE,Classical conditioning,TRUE,Operant conditioning,FALSE
59,psychology,EASY,What is the term for a mental shortcut that relies on immediate examples? ,Anchoring effect,FALSE,Representative heuristic,FALSE,Availability heuristic,TRUE,Confirmation bias,FALSE
60,psychology,EASY,What is the focus of psychometrics? ,Psychological measurement,TRUE,Cognitive development,FALSE,Behavioral observation,FALSE,Qualitative analysis,FALSE
61,psychology,EASY,What is the name of the theory that explains the relationship between arousal and performance? ,Social Facilitation Theory,FALSE,Maslow's Hierarchy,FALSE,Yerkes-Dodson Law,TRUE,Drive Theory,FALSE
62,psychology,EASY,What is the term for a persistent.  irrational fear of a specific object or situation? ,Obsessive-compulsive disorder,FALSE,Anxiety disorder,FALSE,Phobia,TRUE,Panic disorder,FALSE
63,psychology,EASY,Who is known for the concept of the social contract in psychology? ,Jean Piaget,FALSE,Carl Rogers,FALSE,Sigmund Freud,FALSE,John Locke,TRUE
64,psychology,EASY,What is the focus of neuropsychology? ,Cognitive processes,FALSE,Brain-behavior relationships,TRUE,Social behavior,FALSE,Child development,FALSE
65,psychology,EASY,What is the term for the process of adapting our current understandings to incorporate new information? ,Assimilation,FALSE,Equilibration,FALSE,Reorganization,FALSE,Accommodation,TRUE
66,psychology,EASY,What is the primary function of the hippocampus? ,Language processing,FALSE,Emotional regulation,FALSE,Motor control,FALSE,Memory formation,TRUE
67,psychology,EASY,What is the term for a feeling of uncertainty about the future? ,Depression,FALSE,Stress,FALSE,Excitement,FALSE,Anxiety,TRUE
68,psychology,EASY,What is the name of the approach that emphasizes the importance of social and cultural influences on behavior? ,Behavioral perspective,FALSE,Cognitive perspective,FALSE,Humanistic perspective,FALSE,Sociocultural perspective,TRUE
69,psychology,EASY,What is the term for a tendency to overestimate the influence of personal characteristics and underestimate situational factors? ,Confirmation bias,FALSE,Actor-observer bias,FALSE,Self-serving bias,FALSE,Fundamental attribution error,TRUE
70,psychology,EASY,What is the name of the psychological phenomenon where people tend to remember emotionally charged events better? ,Flashbulb memory,TRUE,Short-term memory,FALSE,Long-term memory,FALSE,Working memory,FALSE
71,psychology,EASY,What is the focus of health psychology? ,Cognitive processes,FALSE,Psychological factors in health,TRUE,Social behavior,FALSE,Human growth,FALSE
72,psychology,EASY,What is the term for the tendency to perform worse on tasks when in a group? ,Conformity,FALSE,Social loafing,TRUE,Groupthink,FALSE,Social facilitation,FALSE
73,psychology,EASY,What is the primary goal of educational psychology? ,Analyze behavior,FALSE,Develop therapies,FALSE,Improve learning,TRUE,Diagnose disorders,FALSE
74,psychology,EASY,What is the name of the theory that explains the motivations behind human behavior? ,Social learning theory,FALSE,Cognitive dissonance theory,FALSE,Hierarchy of needs,FALSE,Drive theory,TRUE
75,psychology,EASY,What is the term for a psychological condition that causes significant distress and impairment? ,Mental illness,TRUE,Personality trait,FALSE,Mental health,FALSE,Emotional disorder,FALSE
76,psychology,EASY,What is the focus of cross-cultural psychology? ,Mental disorders,FALSE,Developmental stages,FALSE,Individual differences,FALSE,Cultural influences on behavior,TRUE
77,psychology,EASY,What is the term for a group of symptoms that occur together and characterize a particular disorder? ,Symptom cluster,FALSE,Health condition,FALSE,Syndrome,TRUE,Disorder profile,FALSE
78,psychology,EASY,What is the term for the body's response to perceived threats or challenges? ,Anxiety response,FALSE,Stress response,TRUE,Emotional reaction,FALSE,Relaxation response,FALSE
79,psychology,EASY,What is the name of the psychological principle that explains how people perceive the whole rather than the sum of its parts? ,Behavioral principle,FALSE,Cognitive principle,FALSE,Gestalt principle,TRUE,Situational principle,FALSE
80,psychology,EASY,What is the focus of community psychology? ,Educational reform,FALSE,Individual therapy,FALSE,Social change and empowerment,TRUE,Workplace behavior,FALSE
81,psychology,EASY,What is the term for the tendency to judge the likelihood of an event based on how easily an example comes to mind? ,Confirmation bias,FALSE,Representative heuristic,FALSE,Availability heuristic,TRUE,Anchoring effect,FALSE
82,psychology,EASY,What is the term for a way of thinking that emphasizes personal growth and fulfillment? ,Humanistic approach,TRUE,Psychoanalytic approach,FALSE,Behavioral approach,FALSE,Cognitive approach,FALSE
83,psychology,EASY,What is the name of the phenomenon where people perform better in front of an audience? ,Social loafing,FALSE,Conformity,FALSE,Groupthink,FALSE,Social facilitation,TRUE
84,psychology,EASY,What is the term for a deep. prolonged feeling of sadness? ,Stress,FALSE,Anxiety,FALSE,Phobia,FALSE,Depression,TRUE
85,psychology,EASY,What is the primary focus of positive psychology? ,Social interactions,FALSE,Cognitive processes,FALSE,Human strengths and virtues,TRUE,Mental disorders,FALSE
86,psychology,EASY,What is the term for a learned response to a previously neutral stimulus? ,Operant conditioning,FALSE,Classical conditioning,TRUE,Observational learning,FALSE,Social learning,FALSE
87,psychology,EASY,What is the term for a significant drop in performance when working in a group? ,Groupthink,FALSE,Social facilitation,FALSE,Conformity,FALSE,Social loafing,TRUE
88,psychology,EASY,What is the primary goal of behavior modification? ,Improve cognitive skills,FALSE,Analyze emotions,FALSE,Enhance social interactions,FALSE,Change maladaptive behavior,TRUE
89,psychology,EASY,What is the term for the mental framework that helps organize and interpret information? ,Schema,TRUE,Heuristic,FALSE,Concept,FALSE,Paradigm,FALSE
90,psychology,EASY,What is the term for the tendency to overemphasize internal factors when explaining someone else's behavior? ,Actor-observer bias,FALSE,Fundamental attribution error,TRUE,Confirmation bias,FALSE,Self-serving bias,FALSE
91,psychology,EASY,What is the focus of environmental psychology? ,Social behavior,FALSE,Cognitive processes,FALSE,Interaction between people and their environments,TRUE,Child development,FALSE
92,psychology,EASY,What is the term for the reinforcement given after a specific number of responses? ,Fixed ratio reinforcement,TRUE,Fixed interval reinforcement,FALSE,Variable ratio reinforcement,FALSE,Variable interval reinforcement,FALSE
93,psychology,EASY,What is the term for the emotional bond that develops between a child and caregiver? ,Affection,FALSE,Dependency,FALSE,Attachment,TRUE,Connection,FALSE
94,psychology,EASY,What is the primary function of the amygdala? ,Motor control,FALSE,Emotion regulation,TRUE,Memory formation,FALSE,Language processing,FALSE
95,psychology,EASY,What is the term for an intense fear of social situations? ,Social anxiety disorder,TRUE,Panic disorder,FALSE,Agoraphobia,FALSE,Generalized anxiety disorder,FALSE
96,psychology,EASY,What is the main focus of neuropsychology? ,Cognitive development,FALSE,Social behavior,FALSE,Brain-behavior relationships,TRUE,Mental disorders,FALSE
97,psychology,EASY,What is the primary goal of family therapy? ,Improve family dynamics,TRUE,Develop therapies,FALSE,Analyze behavior,FALSE,Diagnose individuals,FALSE
98,psychology,EASY,What is the term for the process of learning by observing others? ,Operant conditioning,FALSE,Classical conditioning,FALSE,Social learning,FALSE,Observational learning,TRUE
99,psychology,EASY,What is the term for a psychological condition characterized by persistent.  intrusive thoughts? ,Obsessive-compulsive disorder,TRUE,Phobia,FALSE,Panic disorder,FALSE,Generalized anxiety disorder,FALSE
100,psychology,EASY,What is the term for the process by which new neurons are formed? ,Neurotransmission,FALSE,Neuroplasticity,FALSE,Neurogenesis,TRUE,Neuroscience,FALSE
101,psychology,EASY,What is the primary focus of sports psychology? ,Mental disorders,FALSE,Performance enhancement,TRUE,Team dynamics,FALSE,Social behavior,FALSE
102,psychology,EASY,What is the term for the tendency to attribute our successes to internal factors and failures to external factors? ,Fundamental attribution error,FALSE,Self-serving bias,TRUE,Confirmation bias,FALSE,Actor-observer bias,FALSE
103,psychology,EASY,What is the name of the condition where an individual has an overwhelming fear of being judged in social situations? ,Social anxiety disorder,TRUE,Phobia,FALSE,Generalized anxiety disorder,FALSE,Panic disorder,FALSE
104,psychology,EASY,What is the primary goal of cognitive-behavioral therapy? ,Modify behavior through reinforcement,FALSE,Analyze childhood experiences,FALSE,Change negative thought patterns,TRUE,Enhance self-awareness,FALSE
105,psychology,EASY,What is the term for a psychological condition characterized by excessive worry about various aspects of life? ,Panic disorder,FALSE,Obsessive-compulsive disorder,FALSE,Generalized anxiety disorder,TRUE,Social anxiety disorder,FALSE
106,psychology,EASY,What is the focus of cross-cultural psychology? ,Cultural influences on behavior,TRUE,Mental disorders,FALSE,Developmental milestones,FALSE,Individual differences,FALSE
107,psychology,EASY,What is the term for the mental process of organizing information into categories? ,Chunking,FALSE,Classification,TRUE,Organization,FALSE,Sorting,FALSE
108,psychology,EASY,What is the term for a learning style that involves visual aids and imagery? ,Verbal learning,FALSE,Auditory learning,FALSE,Visual learning,TRUE,Kinetic learning,FALSE
109,psychology,EASY,What is the term for the psychological tendency to focus on the positive aspects of a situation? ,Realism,FALSE,Idealism,FALSE,Optimism,TRUE,Pessimism,FALSE
110,psychology,EASY,What is the term for a psychological condition characterized by compulsive behavior to alleviate anxiety? ,Panic disorder,FALSE,Social anxiety disorder,FALSE,Generalized anxiety disorder,FALSE,Obsessive-compulsive disorder,TRUE
111,psychology,EASY,What is the focus of developmental psychology? ,Cognitive processes,FALSE,Human growth and changes across the lifespan,TRUE,Societal influences,FALSE,Mental disorders,FALSE
112,psychology,EASY,What is the term for the psychological process of adapting to a new environment? ,Assimilation,FALSE,Adaptation,FALSE,Acculturation,TRUE,Integration,FALSE
113,psychology,EASY,What is the primary goal of stress management techniques? ,Enhance productivity,FALSE,Reduce stress,TRUE,Increase motivation,FALSE,Improve performance,FALSE
114,psychology,EASY,What is the name of the psychological test that assesses emotional intelligence? ,Achievement test,FALSE,EQ test,TRUE,Personality inventory,FALSE,IQ test,FALSE
115,psychology,EASY,What is the term for the physiological response to stress? ,Anxiety response,FALSE,Emotional response,FALSE,Stress response,TRUE,Relaxation response,FALSE
116,psychology,EASY,What is the term for the theory that emphasizes the role of social interactions in learning? ,Cognitive theory,FALSE,Behavioral theory,FALSE,Social learning theory,TRUE,Psychoanalytic theory,FALSE
117,psychology,EASY,What is the primary focus of community psychology? ,Cognitive development,FALSE,Community well-being and social change,TRUE,Mental illness,FALSE,Child psychology,FALSE
118,psychology,EASY,What is the term for a persistent feeling of sadness or loss of interest? ,Anxiety,FALSE,Phobia,FALSE,Depression,TRUE,Stress,FALSE
119,psychology,EASY,What is the primary function of the cerebellum? ,Emotion regulation,FALSE,Memory formation,FALSE,Language processing,FALSE,Coordination of movement,TRUE
120,psychology,EASY,What is the term for the tendency to seek consistent information? ,Groupthink,FALSE,Cognitive consistency,TRUE,Confirmation bias,FALSE,Self-fulfilling prophecy,FALSE
121,psychology,EASY,What is the focus of positive psychology? ,Mental disorders,FALSE,Study of strengths and virtues,TRUE,Cognitive biases,FALSE,Social dynamics,FALSE
122,psychology,EASY,What is the term for the therapeutic approach that focuses on the individual's subjective experience? ,Behavioral therapy,FALSE,Humanistic therapy,TRUE,Cognitive therapy,FALSE,Psychoanalysis,FALSE
123,psychology,EASY,What is the primary focus of educational psychology? ,Mental disorders,FALSE,Learning processes and educational practices,TRUE,Social behavior,FALSE,Cognitive development,FALSE
124,psychology,EASY,What is the term for the phenomenon where people remember the first and last items in a list better than the middle? ,Chunking effect,FALSE,Primacy effect,FALSE,Recency effect,FALSE,Serial position effect,TRUE
125,psychology,EASY,What is the term for a psychological condition characterized by intense. irrational fear of a specific object or situation? ,Obsessive-compulsive disorder,FALSE,Panic disorder,FALSE,Anxiety disorder,FALSE,Phobia,TRUE
126,psychology,EASY,What is the focus of behavioral genetics? ,Cognitive development,FALSE,Influence of genetics on behavior,TRUE,Mental disorders,FALSE,Social interactions,FALSE
127,psychology,EASY,What is the term for a sudden.  intense fear or discomfort that peaks within minutes? ,Stress response,FALSE,Phobia,FALSE,Anxiety attack,FALSE,Panic attack,TRUE
128,psychology,EASY,What is the primary goal of intervention strategies in psychology? ,Diagnose disorders,FALSE,Improve well-being,TRUE,Analyze behavior,FALSE,Develop theories,FALSE
129,psychology,EASY,What is the term for the psychological principle that suggests that people are motivated to reduce discomfort? ,Maslow's hierarchy,FALSE,Theory of planned behavior,FALSE,Reinforcement theory,FALSE,Drive reduction theory,TRUE
130,psychology,EASY,What is the term for a systematic way of investigating phenomena? ,Qualitative research,FALSE,Experimental design,FALSE,Research methodology,TRUE,Quantitative research,FALSE
131,psychology,EASY,What is the primary focus of cognitive therapy? ,Change negative thought patterns,TRUE,Modify behavior through reinforcement,FALSE,Analyze childhood experiences,FALSE,Enhance self-awareness,FALSE
132,psychology,EASY,What is the term for the physiological reaction to stressors? ,Adaptation response,FALSE,Fight or flight response,TRUE,Relaxation response,FALSE,Emotional response,FALSE
133,psychology,EASY,What is the name of the mental health professional who provides therapy? ,Psychologist,TRUE,Counselor,FALSE,Sociologist,FALSE,Psychiatrist,FALSE
134,psychology,EASY,What is the term for a psychological condition characterized by preoccupation with perceived flaws in appearance? ,Anorexia nervosa,FALSE,Social anxiety disorder,FALSE,Bulimia nervosa,FALSE,Body dysmorphic disorder,TRUE
135,psychology,EASY,What is the term for the process of actively organizing and interpreting sensory information? ,Attention,FALSE,Recognition,FALSE,Sensation,FALSE,Perception,TRUE
136,psychology,EASY,What is the primary focus of social psychology? ,Cognitive processes,FALSE,Mental disorders,FALSE,Developmental stages,FALSE,How people influence and are influenced by others,TRUE
137,psychology,EASY,What is the term for a condition characterized by excessive fear of being in situations where escape might be difficult? ,Agoraphobia,TRUE,Claustrophobia,FALSE,Social anxiety disorder,FALSE,Panic disorder,FALSE
138,psychology,EASY,What is the focus of family therapy? ,Analyze individual behavior,FALSE,Cognitive development,FALSE,Social dynamics,FALSE,Improve family relationships,TRUE
139,psychology,EASY,What is the name of the approach that emphasizes the importance of biological factors in behavior? ,Humanistic psychology,FALSE,Cognitive psychology,FALSE,Biological psychology,TRUE,Psychoanalytic psychology,FALSE
140,psychology,EASY,What is the term for the psychological process of creating a mental image of an object? ,Visualization,TRUE,Memory recall,FALSE,Conceptualization,FALSE,Imagination,FALSE
141,psychology,EASY,What is the primary goal of mindfulness practices? ,Increase self-awareness,TRUE,Reduce anxiety,FALSE,Enhance memory,FALSE,Boost productivity,FALSE
142,psychology,EASY,What is the term for a condition that involves recurrent. unexpected panic attacks? ,Generalized anxiety disorder,FALSE,Phobia,FALSE,Panic disorder,TRUE,Social anxiety disorder,FALSE
143,psychology,EASY,What is the term for the tendency to view one's own culture as superior? ,Cultural relativism,FALSE,Cultural assimilation,FALSE,Cultural diversity,FALSE,Ethnocentrism,TRUE
144,psychology,EASY,What is the name of the psychological phenomenon where people are less likely to help when others are present? ,Diffusion of responsibility,FALSE,Bystander effect,TRUE,Groupthink,FALSE,Social loafing,FALSE
145,psychology,EASY,What is the term for a persistent fear of being embarrassed in social situations? ,Social phobia,TRUE,Panic disorder,FALSE,Specific phobia,FALSE,Generalized anxiety disorder,FALSE
146,psychology,EASY,What is the primary focus of cognitive neuroscience? ,Brain processes underlying cognition,TRUE,Developmental psychology,FALSE,Social behavior,FALSE,Mental disorders,FALSE
147,psychology,EASY,What is the term for the psychological mechanism that protects individuals from unpleasant emotions? ,Adaptive response,FALSE,Defense mechanism,TRUE,Emotion regulation,FALSE,Coping strategy,FALSE
148,psychology,EASY,What is the focus of developmental psychopathology? ,Cognitive processes,FALSE,Social interactions,FALSE,Development of psychological disorders,TRUE,Educational practices,FALSE
149,psychology,EASY,What is the term for the gradual weakening of a conditioned response when the reinforcement is removed? ,Discrimination,FALSE,Extinction,TRUE,Generalization,FALSE,Habituation,FALSE
150,psychology,EASY,What is the primary focus of organizational psychology? ,Mental disorders,FALSE,Cognitive processes,FALSE,Child development,FALSE,Workplace behavior and dynamics,TRUE
151,psychology,EASY,What is the term for the type of therapy that focuses on changing negative thoughts and behaviors? ,Humanistic therapy,FALSE,Psychoanalytic therapy,FALSE,Gestalt therapy,FALSE,Cognitive-behavioral therapy,TRUE
152,psychology,EASY,What is the focus of geropsychology? ,Cognitive processes,FALSE,Psychological issues in older adults,TRUE,Child development,FALSE,Workplace behavior,FALSE
153,psychology,EASY,What is the term for the psychological condition characterized by excessive. uncontrollable worry? ,Generalized anxiety disorder,TRUE,Panic disorder,FALSE,Phobia,FALSE,Social anxiety disorder,FALSE
154,psychology,EASY,What is the term for the biological basis of behavior? ,Neurobiology,TRUE,Cognitive neuroscience,FALSE,Psychobiology,FALSE,Behavioral genetics,FALSE
155,psychology,EASY,What is the primary focus of health psychology? ,Interaction between health and behavior,TRUE,Social behavior,FALSE,Cognitive development,FALSE,Mental disorders,FALSE
156,psychology,EASY,What is the term for the fear of being in open or crowded spaces? ,Social anxiety,FALSE,Claustrophobia,FALSE,Situational phobia,FALSE,Agoraphobia,TRUE
157,psychology,EASY,What is the focus of child psychology? ,Cognitive processes,FALSE,Social dynamics,FALSE,Psychological development in children,TRUE,Mental disorders,FALSE
158,psychology,EASY,What is the term for the mental process of recalling past experiences? ,Memory retrieval,TRUE,Memory encoding,FALSE,Memory consolidation,FALSE,Memory storage,FALSE
159,psychology,EASY,What is the primary goal of rehabilitation psychology? ,Analyze behavior,FALSE,Diagnose disorders,FALSE,Help individuals with disabilities,TRUE,Enhance performance,FALSE
160,psychology,EASY,What is the term for the psychological condition characterized by a preoccupation with food and body weight? ,Anxiety disorder,FALSE,Phobia,FALSE,Eating disorder,TRUE,Obsessive-compulsive disorder,FALSE
161,psychology,EASY,What is the primary focus of social cognition? ,Behavioral patterns,FALSE,How people think about themselves and others,TRUE,Cognitive development,FALSE,Mental disorders,FALSE
162,psychology,EASY,What is the term for the psychological process of adjusting to a new culture? ,Acculturation,TRUE,Integration,FALSE,Adaptation,FALSE,Assimilation,FALSE
163,psychology,EASY,What is the focus of evolutionary psychology? ,Psychological traits and behaviors as adaptations,TRUE,Cognitive processes,FALSE,Social behavior,FALSE,Mental disorders,FALSE
164,psychology,EASY,What is the term for the tendency to remember emotionally charged events more vividly? ,Long-term memory,FALSE,Flashbulb memory,TRUE,Short-term memory,FALSE,Working memory,FALSE
165,psychology,EASY,What is the primary focus of positive reinforcement in behaviorism? ,Decrease undesired behavior,FALSE,Change thought patterns,FALSE,Increase desired behavior,TRUE,Analyze emotions,FALSE
166,psychology,EASY,What is the term for a sudden onset of intense fear accompanied by physical symptoms? ,Phobia,FALSE,Panic attack,TRUE,Anxiety attack,FALSE,Stress response,FALSE
167,psychology,EASY,What is the term for a psychological condition characterized by a fear of specific objects or situations? ,Situational anxiety,FALSE,Specific phobia,TRUE,Generalized anxiety,FALSE,Panic disorder,FALSE
168,psychology,EASY,What is the primary focus of environmental psychology? ,Interaction between individuals and their physical environment,TRUE,Mental disorders,FALSE,Cognitive development,FALSE,Social behavior,FALSE
